,title,description,link,published
10,[MàJ] Vulnérabilité dans Microsoft Outlook (15 février 2024),\[Mise à jour du 15 mars 2024\] Ajout de précision concernant les défi-réponses NTLM \[Mise à jour du 22 février 2024\] Ajout de recommandations et de précisions sur le fonctionnement de la vulnérabilité. La vulnérabilité CVE-2024-21413 permet à un attaquant de contourner les mesures de sécurité...,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-005/,"Thu, 15 Feb 2024 00:00:00 +0000"
11,[MàJ] Vulnérabilité dans Palo Alto Networks GlobalProtect (12 avril 2024),"\[Mise à jour du 10 mai 2024\] Le CERT-FR est intervenu pour le traitement d'une compromission par rançongiciel au sein d'une entité française. Dans le cadre de cette attaque, la vulnérabilité a été exploitée pour ensuite réaliser une latéralisation dans le système d'information de la victime et...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-006/,"Fri, 12 Apr 2024 00:00:00 +0000"
12,Multiples vulnérabilités dans les produits Cisco (25 avril 2024),"Le 24 avril 2024, Cisco a publié trois avis de sécurité concernant des vulnérabilités affectant les équipements de sécurité ASA et FTD. Deux d'entre eux concernent les vulnérabilités CVE-2024-20353 et CVE-2024-20359 qui sont activement exploitées dans le cadre d'attaques ciblées. La vulnérabilité...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-007/,"Thu, 25 Apr 2024 00:00:00 +0000"
13,[MàJ] Vulnérabilité dans les produits Check Point  (30 mai 2024),"[Mise à jour du 31 mai 2024] Des preuves de concept sont désormais disponibles publiquement sur Internet. De plus, l'éditeur indique avoir détecté des tentatives de compromission à partir du 7 avril 2024. **[Publication Initiale]** Une vulnérabilité a été découverte dans les produits Check Point....",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-008/,"Thu, 30 May 2024 00:00:00 +0000"
14,Vulnérabilité dans OpenSSH (01 juillet 2024),"Le 1 juillet 2024, OpenSSH a publié un avis de sécurité concernant la vulnérabilité critique CVE-2024-6387. Cette vulnérabilité permet à un attaquant non authentifié d'exécuter du code arbitraire à distance avec les privilèges *root*. L'éditeur précise que les versions 8.5p1 à 9.7p1 sont...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/,"Mon, 01 Jul 2024 00:00:00 +0000"
15,Multiples vulnérabilités dans Roundcube (09 août 2024),"Le 4 août 2024, Roundcube a publié des correctifs concernant les vulnérabilités critiques CVE-2024-42008 et CVE-2024-42009 affectant son serveur de courriel. Ces vulnérabilités permettent des injections de code indirectes à distance (XSS) qui peuvent, par exemple, conduire à la récupération du...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-010/,"Fri, 09 Aug 2024 00:00:00 +0000"
16,Vulnérabilité dans SonicWall (10 septembre 2024),"Le 22 août 2024, Sonicwall a publié un correctif concernant la vulnérabilité critique CVE-2024-40766 affectant les pare-feux Sonicwall génération 5, 6 et 7. Cette vulnérabilité, de type contrôle d'accès défaillant, permet à un attaquant de provoquer un déni de service à distance, une atteinte à...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-011/,"Tue, 10 Sep 2024 00:00:00 +0000"
17,[MàJ] Vulnérabilités affectant OpenPrinting CUPS (27 septembre 2024),"**[Mise à jour du 10 octobre 2024]** Le 28 septembre 2024, Elastic Security Labs a publié des règles de détection au format propriétaire de l'éditeur (cf. section Documentation), qui sont confirmées par les analyses du CERT-FR pour la détection des attaques connues. **[Publication initiale]** De...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-012/,"Fri, 27 Sep 2024 00:00:00 +0000"
18,Exploitations de vulnérabilités dans Ivanti Cloud Services Appliance (CSA) (22 octobre 2024),"Ivanti a publié plusieurs avis de sécurité sur des vulnérabilités affectant CSA qui sont activement exploitées : * le 10 septembre 2024, Ivanti a publié un avis de sécurité concernant la vulnérabilité CVE-2024-8190 qui permet à un attaquant, authentifié en tant qu'administrateur, d'exécuter du...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-013/,"Tue, 22 Oct 2024 00:00:00 +0000"
19,[MàJ] Multiples vulnérabilités dans Fortinet FortiManager (23 octobre 2024),"**[Mise à jour du 14 janvier 2025]** **Publication des correctifs** Le 14 janvier 2025, Fortinet a publié un avis de sécurité relatif à la vulnérabilité CVE-2024-50566 qui correspond à la vulnérabilité de type jour-zéro pour laquelle une preuve de concept a été publiée en novembre 2024. Des...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-014/,"Wed, 23 Oct 2024 00:00:00 +0000"
20,[MàJ] Multiples vulnérabilités sur l'interface d'administration des équipements Palo Alto Networks (15 novembre 2024),"Le 8 novembre 2024, Palo Alto Networks a publié un avis de sécurité relatif à une vulnérabilité critique dans certains pare-feux Palo Alto Networks. Elle permet à un attaquant non authentifié d'exécuter du code arbitraire à distance sur l'interface d'administration des équipements. L'éditeur...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-015/,"Fri, 15 Nov 2024 00:00:00 +0000"
21,[MàJ] Vulnérabilité dans les produits Ivanti (09 janvier 2025),"Une vulnérabilité jour-zéro de type débordement de pile a été découverte dans Ivanti Connect Secure (ICS), Policy Secure (IPS), Neurons for Zero Trust Access (ZTA) gateways. Cette vulnérabilité, d'identifiant CVE-2025-0282, permet à un attaquant non authentifié de provoquer une exécution de code...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-001/,"Thu, 09 Jan 2025 00:00:00 +0000"
22,[MàJ] Vulnérabilité dans les produits Fortinet (14 janvier 2025),"\[Mise à jour du 28 janvier 2025\] Une preuve de concept permettant l'exploitation de cette vulnérabilité est disponible publiquement. Le 14 janvier 2025, Fortinet a publié un avis de sécurité concernant la vulnérabilité critique CVE-2024-55591 affectant FortiOS et FortiProxy. Elle permet à un...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-002/,"Tue, 14 Jan 2025 00:00:00 +0000"
23,[MàJ] Vulnérabilité dans les produits Ivanti (03 avril 2025),**\[Mise à jour du 11 avril 2025\]** Le CERT-FR a connaissance d'une preuve de concept publique permettant de provoquer une exécution de code arbitraire à distance. **[Mise à jour du 04 avril 2025]** Le CERT-FR a connaissance d'une preuve de concept publique permettant de provoquer un arrêt du...,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-003/,"Thu, 03 Apr 2025 00:00:00 +0000"
24,Activités de post-exploitation dans Fortinet FortiGate (11 avril 2025),Fortinet a publié le 10 avril 2025 un billet de blogue [1] indiquant l'utilisation d'une technique de post-exploitation qui permet une atteinte à la confidentialité des données de l'ensemble du système des équipements Fortigate affectés. Cette technique repose sur l'utilisation d'un lien...,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-004/,"Fri, 11 Apr 2025 00:00:00 +0000"
25,Vulnérabilité dans SAP NetWeaver (28 avril 2025),"Le 24 avril 2025, SAP a publié un bulletin de sécurité relatif à la vulnérabilité CVE-2025-31324 qui permet l'exécution de code arbitraire à distance pour un utilisateur non authentifié. Cette vulnérabilité est provoquée par un contournement de la politique de sécurité qui permet de télécharger...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-005/,"Mon, 28 Apr 2025 00:00:00 +0000"
26,Vulnérabilité dans les produits Fortinet (13 mai 2025),"Le 13 mai 2025, Fortinet a publié un avis de sécurité concernant la vulnérabilité CVE-2025-32756. Celle-ci permet à un attaquant non authentifié d'exécuter du code arbitraire à distance. L'éditeur indique que cette vulnérabilité est activement exploitée. Les exploitations constatées jusqu'ici...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-006/,"Tue, 13 May 2025 00:00:00 +0000"
27,Multiples vulnérabilités dans Ivanti Endpoint Manager Mobile (EPMM) (14 mai 2025),"[Mise à jour du 15 mai 2025] Une preuve de concept est publiquement disponible sur Internet. [Publication initiale] Le 13 mai 2025, Ivanti a publié deux avis de sécurité concernant les vulnérabilités CVE-2025-4427 et CVE-2025-4428. L'utilisation combinée de ces deux vulnérabilités permet...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-007/,"Wed, 14 May 2025 00:00:00 +0000"
28,[MàJ] Vulnérabilité dans Roundcube (05 juin 2025),"[Mise à jour du 06 juin 2025] Une preuve de concept est publiquement disponible. [Publication initiale] Le 01 juin 2025, Roundcube a publié des correctifs concernant une vulnérabilité critique affectant son portail de messagerie ainsi que tous les produits l'incluant (par exemple cPanel et...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-008/,"Thu, 05 Jun 2025 00:00:00 +0000"
29,Multiples vulnérabilités dans Citrix NetScaler ADC et NetScaler Gateway (01 juillet 2025),"**[Mise à jour du 17 juillet 2025]** L'éditeur a publié un lien contenant une méthode d'évaluation permettant d'identifier des tentatives d'exploitation dans les journaux applicatifs et systèmes [12]. **[Mise à jour du 7 juillet 2025]** Le 17 juin 2025, Citrix a publié un bulletin de sécurité...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-009/,"Tue, 01 Jul 2025 00:00:00 +0000"
30,[MàJ] Multiples vulnérabilités dans Microsoft SharePoint (21 juillet 2025),"**[Mise à jour du 23 juillet 2025]** Le 20 juillet 2025, Microsoft a publié des correctifs pour une vulnérabilité de type limitation insuffisante d'un chemin d'accès à un répertoire restreint, aussi appelé *path traversal*, affectant SharePoint Enterprise Server 2016, SharePoint Server 2019 et...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-010/,"Mon, 21 Jul 2025 00:00:00 +0000"
31,Incidents de sécurité dans les pare-feux SonicWall (05 août 2025),"[Mise à jour du 7 août 2025] Le 6 août 2025, SonicWall a remplacé une partie de son communiqué initial pour indiquer que les incidents de sécurité évoqués étaient vraisemblablement corrélés à la vulnérabilité CVE-2024-40766. Celle-ci a fait l'objet d'un bulletin de sécurité, SNWLID-2024-0015 (cf....",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-011/,"Tue, 05 Aug 2025 00:00:00 +0000"
32,Vulnérabilité dans Citrix NetScaler ADC et NetScaler Gateway (26 août 2025),"Le 26 août 2025, Citrix a publié un bulletin de sécurité (cf. section Documentation) concernant, entre autres, la vulnérabilité CVE-2025-7775. Celle-ci permet une exécution de code arbitraire à distance et affecte toutes les versions de Citrix NetScaler ADC et NetScaler Gateway, dans certaines...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-012/,"Tue, 26 Aug 2025 00:00:00 +0000"
33,[MàJ] Multiples vulnérabilités dans Cisco ASA et FTD (25 septembre 2025),"**[Mise à jour du 07 novembre 2025]** Le 5 novembre 2025, Cisco a mis a jour son billet de blogue initialement publié le 25 septembre 2025 (cf. section Documentation). L'éditeur déclare avoir connaissance d'une nouvelle attaque, affectant les équipements ASA et FTD vulnérables, qui cause un déni...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-013/,"Thu, 25 Sep 2025 00:00:00 +0000"
34,[MàJ] Vulnérabilité dans React Server Components (05 décembre 2025),**[Mise à jour du 11 décembre 2025]** Le CERT-FR a connaissance de multiples exploitations de la vulnérabilité CVE-2025-55182. Les serveurs avec une version vulnérable exposés après la publication des preuves de concept publiques du 5 décembre 2025 doivent être considérés comme compromis....,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-014/,"Fri, 05 Dec 2025 00:00:00 +0000"
35,[MàJ] Multiples vulnérabilités dans Ivanti Endpoint Manager Mobile (30 janvier 2026),"[Mise à jour du 09 février 2026] Le 6 février 2026, Ivanti a mis à disposition des scripts RPM de détection d'indicateurs de compromission, à utiliser en fonction de la version d'EPMM installée. L'éditeur a également mis son guide d'analyse à jour (cf. section Documentation). [Mise à jour du 02...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2026-ALE-001/,"Fri, 30 Jan 2026 00:00:00 +0000"
36,[MàJ] Vulnérabilité dans Cisco Catalyst SD-WAN (25 février 2026),Une vulnérabilité a été découverte dans Cisco Catalyst SD-WAN. Elle permet à un attaquant de provoquer un contournement de la politique de sécurité. Cisco indique que la vulnérabilité CVE-2026-20127 est activement exploitée.,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2026-ALE-002/,"Wed, 25 Feb 2026 00:00:00 +0000"
37,Note d’alerte – Ciblage des messageries instantanées (20 mars 2026),"Les travaux conjoints des services membres du **Centre de Coordination des Crises Cyber (C4)** ont permis d’identifier une recrudescence de campagnes d’attaques ciblant les comptes de messagerie instantanées. Ces campagnes ciblent particulièrement les secteurs régaliens (personnalités politiques,...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2026-ALE-003/,"Fri, 20 Mar 2026 00:00:00 +0000"
38,Vulnérabilité dans F5 BIG-IP Access Policy Manager (31 mars 2026),"Le 15 octobre 2025, F5 a publié un avis de sécurité concernant entre autres la vulnérabilité CVE-2025-53521. Celle-ci affecte BIG-IP APM et permet à un attaquant non authentifié d'exécuter du code à distance. Le 29 mars 2026, l'éditeur indique que cette vulnérabilité est exploitée activement. Le...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2026-ALE-004/,"Tue, 31 Mar 2026 00:00:00 +0000"
39,[Màj] Vulnérabilité dans Microsoft Exchange Server (15 mai 2026),"[Mise à jour du 11 juin 2026] Le 9 juin 2026, Microsoft a publié des versions correctives. [Publication initiale] Le 14 mai 2026, Microsoft a publié un avis de sécurité concernant la vulnérabilité CVE-2026-42897 affectant Exchange Server. Elle permet à un attaquant non authentifié de provoquer...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2026-ALE-005/,"Fri, 15 May 2026 00:00:00 +0000"
